Name,TeFo,Te,Req(Te),Fo,Req(Fo),Lvl,R,D,T,Special,Description,Design,Comment,
Restoration of the Defiled Body,CrCo25,Cr,,Co,,25,,,,Ritual,,,,
Wound without Cause,PeCo20,Pe,,Co,,20,Touch,Mom,Ind,,,"Base 15, touch +1",Causes a heavy wound,
Spasms of the Uncontrolled Body,ReCo5,Re,,Co,,5,,,,,,"Base 1 ; R: Touch, D: Sun, T: Ind, ",,
Leap of Homecoming,ReCo35,Re,,Co,,35,,,,,,,,
Leap of Homecoming (touch),ReCo40,Re,,Co,,40,Touch,,,,,,,
Gift of the Frog's Legs,ReCo15,Re,,Co,,15,,,,,,,,
Improved Purification of the Festering Wounds,CrCo25,Cr,,Co,,25,,,,,,,,
Gift of Quickness (personal range),CrCo30,Cr,,Co,,30,Per,Mom,Ind,Ritual,,,up to 0,
Converse with Plant and Tree,InHe25,In,,He,,25,,,,,,,,
Lamp till Morning without Flame,CrIg15,Cr,,Ig,,15,Touch,Sun,Ind,,,,,
Arrow of Fiery Ribbons,CrIg30,Cr,,Ig,,30,Touch,Mom,Group,,,,,
Ward of Heat and Flames,ReIg25,Re,,Ig,,25,,,,,,,,
Veil of Invisibility,PeIm20,Pe,,Im,,20,Touch,Sun,Ind,,,,,
The Studious Doppleganger,CrIm5,Cr,,Im,,5,,,,,,,,
False Window,CrIm5,Cr,,Im,,5,Touch,Sun,Ind,,,,,
Smoke of Escaping,CrIm5,Cr,,Im,,5,,,,,,,,
Clarity of Public Speech,CrIm10,Cr,,Im,,10,Touch,Sun,Room,,,,"After Notes of Delightful Sound, but the focus is on human speech, loud and clear. ",
Book of Images,CrIm15,Cr,,Im,,15,,,,,,,,[MoH:124]
The Shadow of Human Life,CrIm40,Cr,,Im,Me,40,,,,,,,,[ArM:144]
Horror Cabinet,CrIm35,Cr,Re,Im,,35,Touch,Moon,Room,,"Fills the room with horrible, moving images of beasts, ghosts, and undead threatening to devour any intruders.  Most will run in panic (failing a brave personality roll 12+), and some (botching such roll) may be driven insane.",Base 3 (three senses) + Touch + Moon +Room -> L25 +1 (Rego) +1 (Complexity) -> L35,,
Prying Eyes,InIm5,In,,Im,,5,,,,,,,,
Brushstrokes Revealed,InIm10,In,,Im,,10,,,,,,,,
Palm of Seeing (Sun duration),InIm20,In,,Im,,20,,,,,,,,
Eyes of the Eagle (touch),InIm30,In,,Im,,30,touch,,,,,,,
Aura of Ennobled Presence,MuIm10,Mu,,Im,,10,Touch,Sun,Ind,,,,,
Aura of the Trustful Merchant,MuIm10,Mu,,Im,,10,Touch,Sun,Ind,,,,,
Ogre's Stench,MuIm25,Mu,,Im,,25,Touch,Sun,Group,,,,,
Sight of the Warm Surface,MuIm15,Mu,,Im,,15,touch,conc,vision,,,,,
Disguise of the Transformed Image,MuIm15,Mu,,Im,,15,touch,sun,vision,,,,,
Circle of Undisturbed Rest,ReIm10,Re,,Im,,10,,,,,,,covers smell as well as hearing and sight,[MoH:30]
Willful Sidestep,ReIm20,Re,,Im,,20,,,,,,,,
Image from the Wizard Torn,ReIm30,Re,In,Im,,30,Per,Conc,Ind,,"Your image separates from your body and moves as you do. It can speak whatever you say and do so in your voice, and you can see through its eyes. You must make an Int + Concentration stress roll for each solid object the image passes through and for each mile it travels. If you wish the image to be able to leave your sight, you must use an Arcane Connection to yourself (for example, a fingernail or a lock of hair) when you cast the spell. That connection becomes an integral part of the image, and when the spell ends, it falls to the ground wherever the image was located. As your image is away from your body, you are invisible and silent at your actual location.  The image is your image, so while you may move it in space you may not have it sit down if you are standing. Further, it appears as if illuminated by whatever light is falling on you, no matter what the level of illumination is at the image.","Base 15, +1 Concentration, +1 additional sense, +1 Intellego requisite",,[ArM:147]
Confusion of the Insane Vibrations,ReIm35,Re,,Im,,35,,sun,,,,,,
By His Works,CrMe5,Cr,,Me,,5,Per,Conc,Ind,,,,,[HoH:TL:73]
Gift of Perception,CrMe40,Cr,,Me,,40,,,,Ritual,,,,
Gift of Communication,CrMe40,Cr,,Me,,40,,,,,,,Touch/Mon/Ind up to +1. Exaggerated sigil Ritual,
Communication of the Heroes,CrMe60,Cr,,Me,,60,,,,Ritual,,,,
Sight of Conflicting Motives,InMe15,In,,Me,,15,,,,,,,,
Posing the Silent Question,InMe20,In,,Me,,20,,,,,,,,
Trust of the Childlike Faith,PeMe10,Pe,,Me,,10,Touch,Diam,Ind,,,,,
Arrow of Peaceful Slumber,ReMe15,Re,,Me,,15,Touch,Mom,Group,,,,,
Touch of Slumber,ReMe5,Re,,Me,,5,Touch,Mom,Ind,,,,,
Stone Tell of the Mind that Sits,InTe30,In,,Te,,30,Touch,Conc,Ind,,,Base 20,,
Miner's Keen Eye,InTe25,In,,Te,,25,Touch,,,,,,,
Obliteration of the Metallic Barrier,PeTe20,Pe,,Te,,20,Touch,Mom,Ind,,,,,
End of the Mighty Castle,PeTe20,Pe,,Te,,20,Touch,Mom,Str,,,,,
Arrow of Gaping Earth,PeTe15,Pe,,Te,,15,Touch,Mom,Part,,,,"opens a pit in front of the caster, 15 paces wide, 14 feet deep - size +2)",
Sense the Nature of Vis,,In,,Vi,,5,,,,,,,,
Spot the Presence of Vis,,In,,Vi,,5,,,,,,Base 1. Per Mom Vision,,
Scales of Magical Weight,,In,,Vi,,5,,,,,,,,
Piercing the Faerie Veil,,In,,Vi,,20,Per,Conc,Vision,,,,,
Piercing the Magical Veil,,In,,Vi,,20,Per,Conc,Vision,,,,,
Sense of the Lingering Magic,,In,,Vi,,30,,,,,,"Base 10; Per, Hearing (+3); D: Conc (+1);",This spell detects the presence of many magical residues even weak spells ,[ArM5:158]
Wizard's Communion,,Mu,,Vi,,10,Voice,,,,,,,
Fist of Fey Oblivion,,Pe,,Vi,,5,Touch,Mom,Ind,,,,,
Fist of Magic Oblivion,,Pe,,Vi,,5,Touch,Mom,Ind,,,,,
Fist of Demon's Oblivion,,Pe,,Vi,,5,Touch,Mom,Ind,,,,,
Fist of Demon's Oblivion,,Pe,,Vi,,15,Touch,Mom,Ind,,,,,
Break the Shield,,Pe,,Vi,,10,Touch,Mom,Ind,,,,,
Circle of Fey Oblivion,,Pe,,Vi,,10,Touch,Mom,Ind,,,,,
Circle of Demon's Oblivion,,Pe,,Vi,,5,Touch,Mom,Circle,,,,,
Circle of Demon's Oblivion,,Pe,,Vi,,15,Touch,Mom,Circle,,,,,
Tearing the Fabric of Imaginem,,Pe,,Vi,,13,Touch,Mom,Ind,,,, like UNRAVELLING THE FABRIC OF (Form) at shorter range cancels spells up to level 28+simple die,
The Minute of Reckoning,ReVi5,Re,,Vi,,5,Arc,Diam,Ind,,"This spells opens a magical tunnel between the caster and the target.  Spells cast through this tunnel can be up to the level of this spell.  Unlike the Opening the Intangible Tunnel spell, the caster does not need to maintain concentration on this spell; this spell has duration of Diameter. This has advantages (the caster doesn’t need to maintain concentration) and disadvantages (the tunnel cannot be swiftly closed by ceasing to concentrate).  Note that, despite the name of this spell, a Diameter duration spell actually lasts for two minutes.","Base effect, +4 Arcane Connection, +1 Diameter",,[HP:80]
Opening the Intangible Tunnel,,Re,,Vi,,20,Arc,Conc,Ind,,,,,
Watching Ward ,,Re,,Vi,,20,,,,,,,,
